,precision,recall,f1-score,support
glioma,0.959731543624161,0.715,0.8194842406876791,400.0
meningioma,0.8151447661469933,0.915,0.8621908127208481,400.0
pituitary,0.9542168674698795,0.99,0.9717791411042945,400.0
no_tumor,0.906392694063927,0.9925,0.9474940334128878,400.0
accuracy,0.903125,0.903125,0.903125,0.903125
macro avg,0.9088714678262403,0.9031250000000001,0.9002370569814274,1600.0
weighted avg,0.9088714678262403,0.903125,0.9002370569814273,1600.0
